Coordinates:	5.3999,7.0167
6.98086	ụ%m%ụ%a%k%a%
6.90099	a%b%a%l%i%
6.87552	n%r%i%
6.83515	O%
6.81513	Ọ́%
6.79656	ọ%nw%a%
6.77764	ọ%k%ụ%k%ọ%
6.74184	n%ọ̀%ọ̀%
6.68312	r%u%o%
6.53985	g%a%-%e%m%e%
6.52368	e%r%i%
6.45707	e%kw%e%
6.38632	nw%è%r%è%
6.34366	H%a%
6.24497	b%u%r%u%
6.22824	a%r%ị%
6.20227	ú%kw%ú%
6.19718	m%b%ụ%
6.17956	N%a%
6.09063	nw%a%ny%i%
6.02961	b%i%a%r%a%
5.93541	ọ%j%ọ%ọ%
5.92051	m%b%u%
5.8937	u%d%o%
5.82928	w%ụ́%
5.82012	w%ụ%kw%a%n%ụ%
5.80406	o%sh%i%
5.79571	gb%a%s%a%r%a%
5.77558	e%e%e%
5.7608	nw%e%
5.73664	m%ụ%r%ụ%
5.69012	e%dz%i%
5.68004	é%m%é%
5.53253	k%ọ%r%ọ%
5.49241	ọ%k%ụ%
5.44214	a%n%ụ%
5.41664	s%i%
5.40865	t%a%a%
5.39662	e%h%i%
5.38703	e%t%i%t%i%
5.33379	kp%à%
5.26297	o%l%u%
5.26043	n%d%i%
5.24331	sh%i%e%
5.19651	i%h%u%
5.18848	e%l%e%
5.1745	e%j%e%
5.12271	a%p%ụ%t%a%
5.09487	r%u%r%u%
5.0889	o%l%e%e%
5.08568	h%ù%
5.0318	kw%a%n%ụ%
5.02812	nw%ụ%r%ụ%
4.99919	l%a%m%a%
4.99384	j%e%m%e%
4.98765	í%h%é%
4.95511	i%j%i%
4.93781	ụ%gw%ọ%
4.93236	N%n%a%
4.90385	e%w%e%r%e%
4.89607	ụ%t%ọ%
4.8873	k%é%
4.88231	a%m%a%n%a%n%ụ%
4.81796	kw%e%r%e%
4.8174	ú%n%ú%
4.7886	k%à%
4.77735	I%
4.77314	w%ụ̀%r%ụ̀%
4.77205	Ch%i%n%e%k%e%
4.73872	n%d%u%
4.70912	u%gb%u%
4.70519	o%o%o%
4.6857	j%e%r%e%
4.68131	ọ%r%ụ%
4.67286	h%i%
4.65648	b%ì%à%
4.65011	e%j%e%m%e%
4.63324	w%a%
4.62959	a%kw%ụ%
4.628	g%ì%
4.61127	nw%o%k%e%
4.60554	n%ụ̀%
4.58453	gb%u%o%
4.55258	a%m%a%r%a%
4.54763	nw%é%r%é%
4.5193	i%t%e%
4.5113	E%z%i%a%l%a%
4.48551	M%m%m%
4.46631	b%a%a%
4.46379	n%ù%
4.45601	á%kp%ọ̀%
4.44964	nw%u%ny%e%
4.4419	e%h%
4.41961	g%á%
4.36885	h%ì%
4.36167	e%ch%e%
4.35339	w%e%t%e%
4.34635	s%ì%
4.34193	e%kw%u%
4.32824	l%ụ%r%ụ%
4.32622	kp%ọ%r%ọ%
4.32237	I%gb%o%
4.31841	ọ́%z%ọ́%
4.31009	e%gb%u%
4.27709	Á%
4.26513	ó%
4.26301	h%ụ%n%a%
4.24769	H%à%
4.19208	N%d%e%w%o%
4.18515	M%m%
4.18381	e%j%ì%
4.17026	o%k%e%
4.15077	ụ%w%a%
4.12399	m%a%kw%a%n%ụ%
4.12303	a%sh%i%
4.10124	N%d%e%
4.07839	u%m%u%
4.06077	a%m%ụ%t%a%
4.05678	n%k%e%
3.99731	á%h%à%
3.98535	nw%a%t%a%
3.95433	gb%a%r%a%
3.93636	e%ch%i%
3.92532	n%g%a%h%ụ%
3.91457	n%ọ̀%r%ọ̀%
3.8839	gw%a%
3.88118	e%b%e%h%u%
3.86972	sh%ì%
3.86936	á%ny%ì%
3.86338	n%ọ̀%
3.77891	í%m%é%
3.76833	á%h%ụ̀%
3.75256	nw%a%n%k%e%
3.74325	gb%à%s%à%r%à%
3.72825	ch%ọ%r%ọ%
3.7129	t%u%p%u%
3.7077	j%e%
3.70399	m%gb%o%
3.68184	e%r%u%o%
3.67908	n%t%ị%
